Date,Fixa11,Bitcoin,Ibovespa,SOJA,FERRO,BRENT,IBOVMM15,IBOVMM30,IBOVMM60,IBOVMM90,IBOVMM180,SELIC,IPCA,DOLAR/REAL
2021-03-16,12.949999809265137,56804.90234375,114019.0,0.18718211260109385,0.47040500882398606,0.1823545557783239,0.38474739434210137,0.46197744370028604,0.49465775969885145,0.36184806449125817,0.252642938519628,0.0,0.7,0.7969238639003556
2021-03-17,12.9399995803833,58870.89453125,116549.0,0.17090542402999293,0.4630416490728022,0.17700330216252713,0.38630928215210747,0.461215545340889,0.49558326586075974,0.37129253547648333,0.25664557503805413,0.0,0.7,0.803872775901404
2021-03-18,12.9399995803833,57858.921875,114835.0,0.12614443344274842,0.43188898982309853,0.11223929414287002,0.3908814826765196,0.4580419025423686,0.4948124027233637,0.38117027813108495,0.26062564395484034,0.06382978723404255,0.7,0.7724077747398392
2021-03-19,12.890000343322754,58346.65234375,116222.0,0.14750770846321445,0.40640047007960906,0.12939077488179054,0.4018501545045656,0.4547711550509844,0.4937981091215278,0.39093071579223165,0.26456310679611655,0.06382978723404255,0.7,0.7533573687878625
2021-03-22,12.850000381469728,54529.14453125,114979.0,0.1464903911733415,0.41687911196093436,0.13062573593084478,0.41008330659272646,0.4507730560620869,0.49192945690898615,0.3990512485650232,0.26867683038813156,0.06382978723404255,0.7,0.7025009381868869
2021-03-23,12.8100004196167,54738.9453125,113262.0,0.15462873545889197,0.38940810557820366,0.07807357382255262,0.4131361678967348,0.4445518198259775,0.4893322772919946,0.4049581225903401,0.27208667826693284,0.06382978723404255,0.7,0.7118206335590939
2021-03-24,12.760000228881836,52774.265625,112064.0,0.16683634890393423,0.3950722450844179,0.1277442997288258,0.4146962828488408,0.4375938951026552,0.4870085159502821,0.4102865127164763,0.27539555558322504,0.06382978723404255,0.7,0.7234541509557593
2021-03-25,12.739999771118164,51704.16015625,113750.0,0.15564605274876528,0.38034552558205054,0.09399014585458434,0.4165755122229693,0.4322914186528774,0.4854809015864729,0.4149394531222281,0.27880929442782576,0.06382978723404255,0.7,0.800905573723619
2021-03-26,12.760000228881836,55137.3125,114781.0,0.1414039987574099,0.4120646095858234,0.1299396348275557,0.41582913904701807,0.42888435111189466,0.48367222499560497,0.41939988089759045,0.2824173870141354,0.06382978723404255,0.7,0.8233915307040274
2021-03-29,12.710000038146973,57750.19921875,115419.0,0.12817906802249468,0.40838290270161276,0.1355653707584004,0.42435126697289827,0.4253213558429474,0.4815366224669855,0.42454947550950756,0.286046490815764,0.06382978723404255,0.7,0.904590861166211
2021-03-30,12.770000457763672,58917.69140625,116850.0,0.09969476600635149,0.4120646095858234,0.12403952126599377,0.4341356697236646,0.4232055939772681,0.47999313220332207,0.43149080929566364,0.28953143433450484,0.06382978723404255,0.7,0.926764461480727
